name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,category,quantity_value,quantity_unit,url
Amanoya Himemaru Japanese Rice Cracker 98g,53000,VND,"This crunchy and tasty rice cracker is made with glutinous rice. Made with the classic sweet soy flavour and chilli pepper, each cracker has a nice kick of medium spiciness.","Non-Glutinous Rice, Vegetable Oil (Palm Oil, Rice Bran Oil), Modified Starch (Wheat, Cassava, Corn), Sugar, Soy Sauce (Water, Soybeans, Wheat, Salt, Monosodium Glutamate, Disodium Guanylate, Disodium Inosinate), Starch Syrup (Corn, Tapioca, Sweet Potato, Potato), Spices (Mandarin Orange Peel, Chili Pepper), Monosodium Glutamate, Disodium Inosinate, Disodium Guanylate, Laver, Salt, Seasoning (Hydrolyzed Protein (Corn, Soybeans), Dried Bonito Extract), Caramel Colour.",These are great for snacking,"Storage Store away from direct sunlight, heat and humidity.",Sugar,RICE CRACKERS,98,g,https://shop.annam-gourmet.com/hcm-taka/amanoya-himemaru-japanese-rice-cracker-98g.html
Amarena Fabbri Wild Cherries in Syrup 230g,296000,VND,"A fruit, a tradition, a symbol: Amarena Fabbri is the Italian specialty that has made the company famous all over the world. Unique and inimitable, it comes from a careful selection of the best amarena, pitted and candied in syrup according to the original recipe of the founder, from generation to generation. The essence of quality and sweetness has been inspired by a large number of products, such as syrups and sweet sauces.","Sugar, Sour Cherries, Glucose Syrup, Water, Cherrie Juice (4%), Citric Acid, Flavorings, Anthocyanins Coloring Extracted From Plants","Try using these special amarena cherries in place of any dish that requires ordinary candied cherries. You will find no end to using them. Perfect for distinctive desserts, signature beverages, exceptional hors d'oevres, savory dishes and cheese platters.","Store in a cool, dry place.",,IMPORT CANNED FRUITS,230,g,https://shop.annam-gourmet.com/hcm-taka/amarena-fabbri-wild-cherries-in-syrup-230g.html
An Nhien Healthy Chocolate Biscotti (250g),152000,VND,"An Nhien Healthy Chocolate Biscotti (250g) is a variation of the classic Italian biscotti, crafted with a focus on health-conscious ingredients while still delivering the rich, indulgent taste of chocolate.","Flour, Chocolate,Sugar",Direct use,"Store in a cool, dry place to maintain their freshness.",,CEREAL BARS,250,g,https://shop.annam-gourmet.com/hcm-taka/an-nhien-healthy-chocolate-biscotti-250g.html
An Nhien Honey Biscotti (250g),152000,VND,An Nhien Honey Biscotti (250g) is a delightful baked treat that combines the traditional Italian biscotti with the natural sweetness of honey.,"Flour, Honey, Sugar",Direct use,"Store in a cool, dry place to maintain their freshness.",Sugar,CEREAL BARS,250,g,https://shop.annam-gourmet.com/hcm-taka/an-nhien-honey-biscotti-250g.html
An Nhiên Matcha Biscotti (250g),152000,VND,"An Nhien Healthy Chocolate Biscotti (250g) is a variation of the classic Italian biscotti, crafted with a focus on health-conscious ingredients while still delivering the rich, indulgent taste of matcha.","Flour, Matcha,Sugar",Direct use,"Store in a cool, dry place to maintain their freshness.",Matcha,CEREAL BARS,250,g,https://shop.annam-gourmet.com/hcm-taka/an-nhien-matcha-biscotti-250g.html
Andes  Chocolate Mint Parfait Thins 28p (132g),86000,VND,"Andes Chocolate is the famous and popular mint chocolate, with 2 thin layers of fragrant, fatty chocolate wrapped around the inside.",,Direct use,To store in a cool place away from sunlight,,SPECIAL CHOCOLATE TABLET,132,g,https://shop.annam-gourmet.com/hcm-taka/andes-chocolate-mint-parfait-thins-28p-132g.html
Andes Chocolate w Mint Cream Thins 28p (132g),86000,VND,"Andes Chocolate is the famous and popular mint chocolate, with 2 thin layers of fragrant, fatty chocolate wrapped around the inside.",,Direct use,To store in a cool place away from sunlight,,CHOCOLATE CONFECTIONARY,132,g,https://shop.annam-gourmet.com/hcm-taka/andes-chocolate-w-mint-cream-thins-28p-132g.html
Annie's Cheddar Square Baked Cracker (213g),299000,VND,"Here in Berkeley, we have a mild obsession with cheese – specifically, cheddar cheese. We believe that real cheddar makes everything better. Which is why we crammed all this yummy cheddar into our baked Cheddar Squares. Not only are they packed with crunchy, cheesy goodness, but they just got a serious upgrade and are now Certified Organic!","Organic wheat flour, organic expeller-pressed sunflower oil, organic whole wheat flour, salt, organic cheddar cheese (pasteurized organic milk, cheese culture, sea salt, non-animal enzymes), organic yeast, organic paprika, cultured organic milk, organic nonfat dry milk, organic annatto (for color), organic onion powder, organic celery seed powder, enzymes, mixed tocopherols (vitamin E) to protect flavor.","Whether you love our squares for stacking, snacking, or lunch packing – you can now enjoy them even more with 100% Certified Organic yum!","store in a cool, dry place, away from sunlight.",Berkeley,OTHER SNACKS,213,g,https://shop.annam-gourmet.com/hcm-taka/annie-s-cheddar-square-baked-cracker-213g.html
Arkadia Drinking Chocolate 24%  Cocoa (250g),116000,VND,"Experience true cafe indulgence at home with Arkadia Drinking Chocolate. Developed for baristas and cafes, this perfectly balanced drinking chocolate greets your taste buds with a medium cocoa flavour and subtle caramel and vanilla notes, balancing the light earthiness of the cocoa beans perfectly. With a higher cocoa content than most drinking chocolates on supermarket shelves, this is an indulgent treat for those connoisseurs who really know their chocolate.","Sugar, cocoa powder (24%), milk solids, salt, flavour. Contains: Milk.","Hot Chocolate: Place 3-4 teaspoons (20g) of Arkadia Drinking Chocolate into a mug. Add 180mL warm milk, stir and enjoy.Iced Chocolate: Place 3-4 teaspoons (20g) of Arkadia Drinking Chocolate into a tall glass. Dissolve chocolate with a little boiling water. Then add cold milk, stir and enjoy. Garnish with ice cream or whipped cream.Cappuccino: Sprinkle Arkadia Drinking Chocolate over your cappuccino.Chocolate Mocha: Place 1-2 teaspoons (10g) of Arkadia Drinking Chocolate into a mug. Add an espresso shot and stir to dissolved. Top with heated milk and enjoy.",Settling of contents may occur. Keep in a cool dry place. Best used within 4 weeks of opening.,,CHOCOLATE POWDER,250,g,https://shop.annam-gourmet.com/hcm-taka/arkadia-drinking-chocolate-24-cocoa-250g.html
Aroy D Coconut Milk  165ml,36000,VND,Aroy D coconut milk is traditionally prepared by squeezing grated coconut meat through cheesecloth and packed modern manufactory to keep natural taste of coconut,"Coconut extract (60%), Water (40%)",Used to cook delicious dishes.,Store in a cool place away from sunlight,,COCONUT CREAM,165,ml,https://shop.annam-gourmet.com/hcm-taka/aroy-d-coconut-milk-165ml.html
Aroy-D Coconut Milk (400ml),69000,VND,"The product is produced from fresh, delicious copra, strictly controlled, to ensure food safety, in addition to nutritious coconut oil, which provides more and more complete nutrients for the body. Provides Iron, Calcium and B vitamins for good health. Coconut milk has the effect of regulating blood pressure, good for the heart","60% coconut milk, 40% water",Direct use,To store in a cool place away from sunlight,,COCONUT CREAM,400,ml,https://shop.annam-gourmet.com/hcm-taka/aroy-d-coconut-milk-400ml.html
Ayam Brand Premium Coconut Milk  400mL,41000,VND,"Ayam Brand Premium Coconut Milk  is popularly used to process tea dishes, make cakes, curry, smoothies ... to increase the flavor and fatness of the dish or to cook with dishes that need coconut milk.
Coconut milk is milky white, viscid, fatty, fragrant and sweet
Ayam Brand virgin coconut milk is canned for convenience for you to use and preserve
No added flavors and flavorings
Shake well before use - Store in a cool place away from sunlight - Ayam Brand brand - Made in Malaysia - the product is completely preservative free.",100% pure coconut milk,"Using to make sweet soup, cakes , curry soup","Keep in cool place, away from sunlight",Malaysia,"COCONUT CREAM, OTHER IMPORTED FRUITS",400,ml,https://shop.annam-gourmet.com/hcm-taka/ayam-brand-premium-coconut-milk-400ml.html
Ayam Brand Premium Light Coconut Milk (400ml),40000,VND,"No added fragrance ensures the natural scent from coconut milk
Retains the taste and flavor entirely from coconut with a fat content 31% lower than pure coconut milk.
Shake well before use - Store in a cool place away from sunlight - Ayam Brand brand - Made in Malaysia - the product is completely preservative free. Do not use colorants","Coconut milk (63%), water","Using to make sweet soup, cakes , curry soup","Keep in cool place, away from sunlight",Malaysia,"COCONUT CREAM, OTHER IMPORTED FRUITS",400,ml,https://shop.annam-gourmet.com/hcm-taka/ayam-brand-premium-light-coconut-milk-400ml.html
