name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country
Whisky Label 5 Blend Scotch Bottle 40% 200ml,0,VND,"Distributed in more than 100 countries around the world, Whiskty Label 5 has won many awards and is the 9th largest whiskey brand in the world.",,,,
Whisky Label 5 Blend Scotch Bottle (700ml),0,VND,"Label 5 Classic Black is a unique Whiskey made from the most selective malt, creating a sophisticated Whiskey with a smoky flavor and a hint of flowers and fruit. Label 5 is the 9th largest whiskey brand in the world.",,,,
Gibson's Gin Bottle 37.5% 700ml,0,VND,"Gibson's Gin is bestowed with the best medals. Currently, this Gin line represents the ultimate quality that the company makes.",,,,
Vodka Cruiser Lemon Lime 4.6% Bottle 275ml,59000,VND,"With natural ingredients, no preservatives, and ingredients from twice-fermented fruit - Cruiser has been leading the Australian market with this delicious drink.",,,,Cruiser
Vodka Cruiser  Blueberry 4.6% Bottle 275ml,0,VND,"With natural ingredients, no preservatives, and ingredients from twice-fermented fruit - Cruiser has been leading the Australian market with this delicious drink.",,,,Cruiser
Vodka Cruiser  Raspberry 4.6% Bottle 275ml,59000,VND,"With natural ingredients, no preservatives, and ingredients from twice-fermented fruit - Cruiser has been leading the Australian market with this delicious drink.",,,,Cruiser
Vodka Cruiser Bold Berry 4.6% Bottle 275ml,59000,VND,"With natural ingredients, no preservatives, and ingredients from twice-fermented fruit - Cruiser has been leading the Australian market with this delicious drink.",,,,Cruiser
Vodka Cruiser Juicy Watermelon 4.6% Bottle (275ml),59000,VND,"The characteristic fresh, sweet scent of ripe watermelon. The refreshing sweetness of watermelon fills the mouth. Faint notes of vodka, subtle and not overpowering the fruity smell. The mellow Vodka flavor, mixed with watermelon flavor, creates a refreshing feeling and instantly quenches thirst.",,,,
Royal Dutch Post Horn Full Flavour Beer 5% Can (500ml),47000,VND,"The Beer Lager Royal Dutch Post Horn is made from the freshest and most natural ingredients. The Beer Lager Royal Dutch Post Horn has a delicate aroma of malt and noble hops with a refreshing, distinctive finish.",,,,
Royal Dutch Post Horn Extra Strong Beer 8.5% Can (500ml),0,VND,"The Beer Lager Royal Dutch Post Horn is made from the freshest and most natural ingredients. The Beer Lager Royal Dutch Post Horn has a delicate aroma of malt and noble hops with a refreshing, distinctive finish.",,,,
Trio Extra Stout Beer 7.2% Bottle (330ml),0,VND,"Trio beer has conquered the hearts of beer lovers in more than 28 countries around the world. Created from a delicate combination of three signature ingredients, Trio Stout delivers an unmistakable flavor experience.
The sweetness of roasted malt, the richness of the black color and the aroma of barley along with a subtle hint of coffee aroma are what you can find in every drop of Trio beer.
Carefully selected hops create a gentle yet full-bodied bitterness that pairs perfectly with the flavors of the stout, creating an authentic taste experience.",,,,
Trio Extra Stout Beer 7.2% Can (330ml),0,VND,"TRIO Extra Stout is proudly produced by dedicated and experienced brewers. The beer's signature full, strong and unique flavor is formed from four main ingredients: barley malt, hops, pure soft natural water and yeast.",,,,
"Vodka MG Spirit  Pineapple 5,5% bottle 275ml",59000,VND,MG Spirit from Spain has launched a 5.5% alcohol cocktail range. MG Spirit was created with factory distilled ingredients. Comes in a 275ml glass bottle.,,,,Spain
"Vodka MG Spirit  Grapefruit 5,5% bottle 275ml",59000,VND,MG Spirit from Spain has launched a 5.5% alcohol cocktail range. MG Spirit was created with factory distilled ingredients. Comes in a 275ml glass bottle.,,,,Spain
"Vodka MG Spirit  Lime 5,5% bottle 275ml",59000,VND,MG Spirit from Spain has launched a 5.5% alcohol cocktail range. MG Spirit was created with factory distilled ingredients. Comes in a 275ml glass bottle.,,,,Spain
"Vodka MG Spirit  Blueberry 5,5% bottle 275ml",59000,VND,MG Spirit from Spain has launched a 5.5% alcohol cocktail range. MG Spirit was created with factory distilled ingredients. Comes in a 275ml glass bottle.,,,,Spain
"Vodka MG Spirit Mojito 5,5% bottle 275ml",59000,VND,MG Spirit from Spain has launched a 5.5% alcohol cocktail range. MG Spirit was created with factory distilled ingredients. Comes in a 275ml glass bottle.,,,,Spain
Fever-Tree Light Tonic Water (4x200ml),0,VND,"We use naturally occurring fruit sugars to develop our lighter tonic water. The blending of subtle botanical flavours with spring water and highest-quality quinine gives it the distinctively clean, crisp character of Premium Indian Tonic Water, but with 57% fewer calories.",,,,
Fever-Tree Light Tonic Water (8x150ml),0,VND,Made with the finest quinine from the Democratic Republic of Congo and natural fruit sugars instead of natural cane sugar for 50% fewer calories than Indian Tonic Water.,,,,Congo
Fever-Tree Prem Indian Tonic Water (8x150ml),0,VND,We use fruit sugars to develop our lighter tonic water.,,,,
Fever-Tree Light Elderflower Tonic Water (8x150ml),0,VND,"By blending the gentle bitterness of quinine with fruit sugars and the delicate, sweet notes of elderflowers that are handpicked in Gloucestershire, we've created a delicious, reduced and calorie Elderflower Tonic Water.",,,,Gloucestershire
Hoegaarden White Beer 4.9% Can (330ml),29000,VND,"Created by monks in 1445, Hoegaarden comes from the Belgian village of the same name, famous for its fine wheat fields. Unique unfiltered technique, creating a white, pure, smooth foam layer, when pouring out like clouds flowing smoothly.",,,,
