name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,quantity_value,quantity_unit
Pilsner Urquell Beer Can (500ml),69000,VND,"Josef Groll was able to look beyond what was possible and combine his knowledge of an innovative new bottom fermenting process, known as 'lagering', with his access to the finest local ingredients at Pilsen: a special type of two-row fine-husk barley and of course the uniquely soft local water.","Water, malt, Houblon","Drinking directly, taste better when it cold","Store in a cool, dry place.",,500,ml
Whisky Label 5 Blend Scotch Bottle 40% 200ml,0,VND,"Label 5 Classic Black is a unique Scottish Whiskey made from the most selective malt, creating a sophisticated Whiskey with a smoky flavor and a hint of flowers and fruit. Label 5 is the 9th largest whiskey brand in the world.","100% purest selected malt, purified water","Great drink at parties, can be taken directly or taken with ice.","Store at room temperature, in a cool, dry place.",,200,ml
Pilsner Urquell Beer Bottle (330ml),62000,VND,"Josef Groll was able to look beyond what was possible and combine his knowledge of an innovative new bottom fermenting process, known as 'lagering', with his access to the finest local ingredients at Pilsen: a special type of two-row fine-husk barley and of course the uniquely soft local water.","Water, malt, Houblon","Drinking directly, taste better when it cold","Store in a cool, dry place.",,330,ml
Whisky Label 5 Blend Scotch Bottle (700ml),0,VND,"Label 5 Classic Black is a unique Whiskey made from the most selective malt, creating a sophisticated Whiskey with a smoky flavor and a hint of flowers and fruit. Label 5 is the 9th largest whiskey brand in the world.","100% purest selected malt, purified water","Great drink at parties, can be taken directly or taken with ice.","Store at room temperature, in a cool, dry place.",,700,ml
Gibson's Gin Bottle 37.5% 700ml,0,VND,"Gibson's London Dry Gin has been touted as the classic dry wine. They develop flavor from the distillation of carefully selected ingredients. The spirit that makes the wine flavor creates the purity of the perfect fruits. This wine line contains sweet flavors of citrus, juniper, coriander and cold peel.","Cereals, herbs",Gin Gibsons is a good flavored wine that can be drunk directly or mixed with other wines to form a drink called coctail,"Store at room temperature, in a cool, dry place.",,700,ml
Vodka Cruiser  Blueberry 4.6% Bottle 275ml,0,VND,Vodka Cruiser comes in a variety of flavors with distinctive fruit colors that strongly inspire the flavor of the product. The Vodka Cruiser line has been tweaked for less sugar while preserving quality and taste.,Distilled vodka & fruit,"This berry-flavored Vodka Cruiser offers a delicious taste to the gourmets, making it even better when chilled. Fruit wine must be enjoyed with impressive and unique sweet dishes: cakes, candies, fruits, ...","Store at room temperature, in a cool, dry place.",,275,ml
Vodka Cruiser Lemon Lime 4.6% Bottle 275ml,59000,VND,Vodka Cruiser comes in a variety of flavors with distinctive fruit colors that strongly inspire the flavor of the product. The Vodka Cruiser line has been tweaked for less sugar while preserving quality and taste.,Distilled vodka & fruit,"This berry-flavored Vodka Cruiser offers a delicious taste to the gourmets, making it even better when chilled. Fruit wine must be enjoyed with impressive and unique sweet dishes: cakes, candies, fruits, ...","Store at room temperature, in a cool, dry place.",,275,ml
Vodka Cruiser  Raspberry 4.6% Bottle 275ml,59000,VND,Vodka Cruiser comes in a variety of flavors with distinctive fruit colors that strongly inspire the flavor of the product. The Vodka Cruiser line has been tweaked for less sugar while preserving quality and taste.,Distilled vodka & fruit,"This berry-flavored Vodka Cruiser offers a delicious taste to the gourmets, making it even better when chilled. Fruit wine must be enjoyed with impressive and unique sweet dishes: cakes, candies, fruits, ...","Store at room temperature, in a cool, dry place.",,275,ml
Vodka Cruiser Bold Berry 4.6% Bottle 275ml,59000,VND,Vodka Cruiser comes in a variety of flavors with distinctive fruit colors that strongly inspire the flavor of the product. The Vodka Cruiser line has been tweaked for less sugar while preserving quality and taste.,Distilled vodka & fruit,"This berry-flavored Vodka Cruiser offers a delicious taste to the gourmets, making it even better when chilled. Fruit wine must be enjoyed with impressive and unique sweet dishes: cakes, candies, fruits, ...","Store at room temperature, in a cool, dry place.",,275,ml
Vodka Cruiser Juicy Watermelon 4.6% Bottle (275ml),59000,VND,"The characteristic fresh, sweet scent of ripe watermelon. The refreshing sweetness of watermelon fills the mouth. Faint notes of vodka, subtle and not overpowering the fruity smell. The mellow Vodka flavor, mixed with watermelon flavor, creates a refreshing feeling and instantly quenches thirst.",barley,Drink directly or after chilling,"Store at room temperature, in a cool, dry place.",,275,ml
Royal Dutch Post Horn Full Flavour Beer 5% Can (500ml),47000,VND,"The Beer Lager Royal Dutch Post Horn is made from the freshest and most natural ingredients. The Beer Lager Royal Dutch Post Horn has a delicate aroma of malt and noble hops with a refreshing, distinctive finish.",Malt made from barley; Best Hoa Bia; Pure natural water,"Clear gold color with a smooth cream tip and a refreshing sensation to quench thirst. Sweet, refreshing malt and honey flavors and a slightly bitter aftertaste.",Serving temperature: 3 degrees C,,500,ml
Royal Dutch Post Horn Extra Strong Beer 8.5% Can (500ml),0,VND,"The Beer Lager Royal Dutch Post Horn is made from the freshest and most natural ingredients. The Beer Lager Royal Dutch Post Horn has a delicate aroma of malt and noble hops with a refreshing, distinctive finish.",Malt made from barley; Best Hoa Bia; Pure natural water,"Plump fragrance, strong taste. Delicious beer quality is something connoisseurs will appreciate very much.",Serving temperature: 5 degrees C,,500,ml
Trio Extra Stout Beer 7.2% Bottle (330ml),0,VND,"Trio beer has conquered the hearts of beer lovers in more than 28 countries around the world. Created from a delicate combination of three signature ingredients, Trio Stout delivers an unmistakable flavor experience.
The sweetness of roasted malt, the richness of the black color and the aroma of barley along with a subtle hint of coffee aroma are what you can find in every drop of Trio beer.
Carefully selected hops create a gentle yet full-bodied bitterness that pairs perfectly with the flavors of the stout, creating an authentic taste experience.","Vodka, pineapple flavor",Drink directly or after chilling,"Store at room temperature, in a cool, dry place.",,330,ml
Trio Extra Stout Beer 7.2% Can (330ml),0,VND,"TRIO Extra Stout is proudly produced by dedicated and experienced brewers. The beer's signature full, strong and unique flavor is formed from four main ingredients: barley malt, hops, pure soft natural water and yeast.",Malt made from traditional roasted barley; Selective hops; Pure soft natural water source; First generation yeast,"Trio Extra Stout beer has a smooth, rich, sweet taste and a slightly bitter aftertaste, providing a refreshing end to enjoy. Great combo with Smoked Chicken, BBQ, oysters and chocolate.",Serving temperature: 6-8 degrees C,,330,ml
"Vodka MG Spirit  Grapefruit 5,5% bottle 275ml",59000,VND,"MG Company is a family company founded in 1835, south of Barcelona. Over 70 years of production and distillation of wine, today MG Company is a reputable and highly appreciated supplier in Spain and other countries around the world. MG Spirit is a premade cocktail that combines spirits with natural juices and soft drinks.","Vodka, fermented juice","Easy to enjoy, drink directly or prepare.","Store at room temperature, in a cool, dry place.",Spain,275,ml
"Vodka MG Spirit  Lime 5,5% bottle 275ml",59000,VND,"MG Company is a family company founded in 1835, south of Barcelona. Over 70 years of production and distillation of wine, today MG Company is a reputable and highly appreciated supplier in Spain and other countries around the world. MG Spirit is a premade cocktail that combines spirits with natural juices and soft drinks.","Vodka, fermented juice","Easy to enjoy, drink directly or prepare.","Store at room temperature, in a cool, dry place.",Spain,275,ml
"Vodka MG Spirit  Blueberry 5,5% bottle 275ml",59000,VND,"MG Company is a family company founded in 1835, south of Barcelona. Over 70 years of production and distillation of wine, today MG Company is a reputable and highly appreciated supplier in Spain and other countries around the world. MG Spirit is a premade cocktail that combines spirits with natural juices and soft drinks.","Vodka, fermented juice","Easy to enjoy, drink directly or prepare.","Store at room temperature, in a cool, dry place.",Spain,275,ml
"Vodka MG Spirit Mojito 5,5% bottle 275ml",59000,VND,"MG Company is a family company founded in 1835, south of Barcelona. Over 70 years of production and distillation of wine, today MG Company is a reputable and highly appreciated supplier in Spain and other countries around the world. MG Spirit is a premade cocktail that combines spirits with natural juices and soft drinks.","Vodka, fermented juice","Easy to enjoy, drink directly or prepare.","Store at room temperature, in a cool, dry place.",Spain,275,ml
"Vodka MG Spirit  Pineapple 5,5% bottle 275ml",59000,VND,"MG Company is a family company founded in 1835, south of Barcelona. Over 70 years of production and distillation of wine, today MG Company is a reputable and highly appreciated supplier in Spain and other countries around the world. MG Spirit is a premade cocktail that combines spirits with natural juices and soft drinks.","Vodka, fermented juice","Easy to enjoy, drink directly or prepare.","Store at room temperature, in a cool, dry place.",Spain,275,ml
Fever-Tree Light Tonic Water (4x200ml),0,VND,"We use naturally occurring fruit sugars to develop our lighter tonic water. The blending of subtle botanical flavours with spring water and highest-quality quinine gives it the distinctively clean, crisp character of Premium Indian Tonic Water, but with 57% fewer calories.","Carbonated Spring Water, Fructose (Fruit Sugar), Acid: Citric Acid, Natural Flavours Including Quinine",Use directly,"Store in a cool, dry place.",,200,ml
Fever-Tree Light Tonic Water (8x150ml),0,VND,"We use naturally occurring fruit sugars to develop our lighter tonic water. The blending of subtle botanical flavours with spring water and highest-quality quinine gives it the distinctively clean, crisp character of Premium Indian Tonic Water, but with 57% fewer calories.","Carbonated Spring Water, Fructose (Fruit Sugar), Acid: Citric Acid, Natural Flavours Including Quinine",Use directly,"Store in a cool, dry place.",,150,ml
Fever-Tree Prem Indian Tonic Water (8x150ml),0,VND,"We use fruit sugars to develop our lighter tonic water. The blending of subtle botanical flavours with spring water and highest-quality quinine gives it the distinctively clean, crisp character of Premium Indian Tonic Water, but with 57% fewer calories.","Carbonated Spring Water, Sugar, Acid: Citric Acid, Natural Flavours Including Natural Quinine",Use directly,"Store in a cool, dry place.",,150,ml
Fever-Tree Light Elderflower Tonic Water (8x150ml),0,VND,"By blending the gentle bitterness of quinine with fruit sugars and the delicate, sweet notes of elderflowers that are handpicked in Gloucestershire, we've created a delicious, reduced and calorie Elderflower Tonic Water. A refreshing floral variation of our Premium Indian Tonic Water but with 32% fewer calories. Enjoy this summery twist on a classic G&T or as a sophisticated soft drink.","Carbonated Spring Water, Sugar, Fresh Elderflower Extract, Acid: Citric Acid, Natural Flavours, Natural Quinine",Use directly,"Store in a cool, dry place.",Gloucestershire,150,ml
Hoegaarden White Beer 4.9% Can (330ml),29000,VND,"Created by monks in 1445, Hoegaarden comes from the Belgian village of the same name, famous for its fine wheat fields. Unique unfiltered technique, creating a white, pure, smooth foam layer, when pouring out like clouds flowing smoothly.","Water, barley malt, wheat, hop, coriander, orange peel and yeast","1. Chill
2. Pour two-thirds
3. Swirl
4. Top off and enjoy!","Storage in dry cool place avoiding direct sunlight, excessive heat and freezing",,330,ml
